A, word
sacred, right
sacrifice, and
sacrifices, But
sad, and
sadly, treated
safe, strong
safeguard, the
safely, until
safer, lives
safety, Do
said, that
sailing, and
sailors, who
sails, that
salute, the
same, position
sanctions, and
sandbags, amid
sang, three
sap, our
satisfaction, of
saved, with
saves, lives
saving, them
saw, him
sawdust, and
say, no
sayI, mean
saying, it
says, a
scale, of
school, you
schools, and
scour, the
scout, is
scouting, oath
scoutings, adventure
scouts, tonight
scraps, of
sea, as
search, and
seated, Vice
second, home
secret, police
secretary, of
sector, of
secure, Americas
securing, your
security, and
see, what
seeing, it
seek, out
seeks, to
seem, to
seen, a
selected, as
selection, and
selfdefense, is
selfless, devotion
selflessness, courage
sell, it
selling, it
senators, to
send, our
sense, of
serious, hurt
sermon, when
serve, You
serves, the
service, by
servicemembers, have
services, Two
set, for
setting, is
settlement, that
seven, years
several, yards
sewer, But
shall, seem
shape, Look
shaping, the
share, the
shared, enemies
shattering, its
she, is
shed, their
shell, on
shelter, to
sheltered, the
sheriffs, also
shes, totally
shields, for
shift, from
ship, will
ships, great
shocked, to
shootings, hundreds
shopkeepers, merchants
shopping, believe
shores, But
short, in
shortly, after
shot, Fifth
should, take
show, me
shown, on
shred, of
shrinking, 
sic, John
side, We
sides, in
sign, it
signed, an
signing, a
signs, carry
silent, about
simple, words
since, my
sincere, 
sincerely, thank
single, day
singlemost, exciting
sir, no
sisters, Theyre
sit, behind
site, so
sites, all
sits, on
sitting, President
situation, in
skill, Theres
skills, you
sky, destroy
slaughter, innocent
slipped, back
slogan, of
small, pieces
smaller, example
smart, And
smoothly, And
snipers, shot
so, unbelievably
soaked, in
socalled, global
societies, But
society, and
sold, his
soldier, understands
soldiers, who
solidarity, against
solutions, Americans
solved, 
solver, 
some, of
somebody, else
someone, whos
someplace, They
something, gun
sometimes, forget
son, is
sonI, can
sons, they
soon, trillions
soul, to
souls, Today
sounds, like
sources, of
south, of
southern, border
sovereign, and
sovereignty, We
sow, violence
spaces, must
speak, to
speaking, to
special, for
specialNeil, Gorsuch
specter, of
speech, and
spend, billions
spent, his
spiral, into
spirit, sweeping
split, apart
spoke, to
spoken, to
sports, fans
sportsmen, On
spot, on
spotless, and
spread, to
sprints, They
squares, of
stability, in
stage, today
stamped, with
stance, I
stand, with
standing, before
stands, to
star, is
start, as
started, Its
starting, to
stat, All
state, of
statements, and
states, And
statues, of
statute, is
stay, there
staying, any
steadfast, in
steady, creep
step, further
steps, from
still, mourning
stirred, the
stock, market
stood, in
stop, the
stopped, and
stopping, mass
stories, they
story, thats
strategic, partnership
strategically, applied
strategy, with
stream, of
street, and
streets, and
strength, Our
strikes, when
strip, them
stripping, terrorists
strive, for
strong, proud
stronger, This
strongly, with
structures, you
struggle, to
student, in
studied, Afghanistan
submitting, in
substantially, Were
subvert, and
succeed, you
success, when
successful, Now
such, a
suddenly, raised
suffer, together
suffered, one
suffers, an
summer, of
summit, or
summon, the
supplier, of
support, for
supported, in
supporting, the
supposed, to
suppress, the
sure, that
survival, depend
survive, If
suspend, the
suspicious, by
swamp, to
swamped, with
sweat, tears
sweeping, across
swift, decisive
swiftly, waging
sworn, the
symbol, of
symbols, of
symphonies, We
system, 
systematically, murdered
tactics, of
take, care
taken, action
takes, place
taking, office
talents, you
talk, to
talked, to
talking, aboutwe
talks, By
tanks, in
tape, But
target, the
task, force
taught, so
tax, code
taxes, to
team, to
teammates, through
teams, of
tears, resolve
tedious, work
television, November
tell, you
telling, you
ten, and
tense, relations
terminated, our
terminating, the
terrible, and
terrific, product
territory, and
terror, attack
terrorism, and
terrorismrelated, offenses
terrorist, threat
terrorists, who
test, our
th, And
than, they
thank, also
thanked, med
thanking, me
thanks, also
that, wall
thatDonald, Trump
thats, exactly
the, southern
their, poison
them, As
themselves, but
then, you
there, is
theres, nobody
these, things
they, around
theyd, sayI
theyll, do
theyre, doing
theyve, ever
thhour, rule
thing, never
things, and
think, about
thinking, about
this, Weve
those, people
though, their
thought, were
thoughts, and
thousand, years
thousands, of
threat, Terrorists
threaten, our
threatens, all
threats, We
three, simple
thrilled, th
thrive, And
through, on
throughout, your
thrown, out
thugs, and
ties, that
time, Heading
timebased, approach
timeless, traditions
times, I
timetables, 
tiny, group
tired, echoes
to, this
today, not
together, Remember
told, she
tolerance, for
tomorrow, to
tonight, will
too, long
took, this
tools, and
top, job
total, immortality
totally, for
tough, fight
toughoncrime, Attorney
toward, killing
trade, and
tradition, And
traditions, they
traffickers, and
trafficking, to
tragedy, You
tragic, collision
transatlantic, bond
transcend, every
transform, you
transnational, criminal
traveled, to
treasure, the
treated, These
treating, us
tremendous, disadvantage
tremendously, successful
trench, Finally
trials, you
tribute, to
tried, to
trillion, infrastructure
trillions, of
trip, youre
triumph, So
troop, leaders
troops, and
trouble, Thats
troubled, now
troubling, situation
true, friend
truly, historic
trust, they
trustworthy, loyal
truth, I
truthfully, youre
try, to
trying, to
tunnels, and
turns, to
two, countries
tyranny, Now
ultimately, going
unacceptable, 
unaffordable, It
unbelievable, tribute
unbelievably, at
unchecked, these
under, the
undermine, your
undermines, democracy
understand, 
understandable, by
understands, what
undertake, a
unfair, So
unflinching, leadership
unfreeze, all
uniform, you
uniforms, like
unify, to
unique, histories
unite, our
united, against
unlimited, We
unmatched, Through
until, you
up, the
uphold, the
upon, the
upwe, ran
urge, Russia
us, But
use, it
used, to
using, our
vacuum, we
value, the
valued, partner
values, as
vast, amounts
vehicle, that
veins, of
very, much
vet, those
veteran, Were
veterans, in
vets, We
vibrant, Jewish
vice, president
vicious, attack
viciously, murdering
victory, there
vigilance, and
vigilant, And
vile, vicious
villages, of
violence, against
violent, crime
visit, an
vital, and
vitality, and
voices, that
volunteer, for
volunteered, for
volunteers, who
vote, But
voted, for
votes, He
wages, Really
waging, battle
wait, a
waited, They
waiting, for
wall, We
walls, a
want, to
wanted, to
wants, to
war, For
warfighters, that
warmed, every
warmth, and
warning, that
warrior, who
warriors, to
wars, that
wartime, commanders
was, 
wasNovember, 
wasnt, looking
wasting, your
watch, believe
watched, as
watching, from
waver, even
waving, to
way, we
ways, and
we, will
weak, and
weaken, our
wealth, of
weapon, to
weapons, anywhere
wear, and
weary, of
week, on
weeks, vile
welcome, new
welcomed, us
welcoming, our
well, some
went, one
were, very
werent, even
west, through
weve, done
what, theyre
whatever, is
whats, happening
when, you
where, they
whether, or
which, I
while, making
white, hats
who, used
whoa, But
whole, East
whom, I
whos, going
whose, tense
why, do
wicked, system
wide, was
wife, said
will, build
wills, and
win, Because
winning, again
wins, big
wish, to
with, that
withdraw, from
withdrawal, We
withdrew, from
within, our
without, victory
woman, named
women, of
won, for
wonder, if
wonderful, hunters
wont, give
wood, This
word, momentum
words, basically
work, with
worked, with
workers, Youll
workforce, To
working, really
works, of
world, and
worlds, greatest
worried, about
worry, about
worse, because
worst, terrorist
worth, defending
worthy, of
would, make
wouldnt, believe
wound, inflicted
wounded, warrior
wow, and
write, symphonies
writings, are
written, about
wrong, people
wrote, their
yacht, and
yachts, and
yard, when
yards, away
year, our
years, ago
yes, I
yesterday, Thats
yesterdays, fights
yet, another
you, need
youll, be
young, And
your, Attorney
youre, already
yourself, be
yourselves, and
youth, Hes
youve, been
zero, The
zones, Theyve
zoning, and
